name	type
color_dot_s	colourInput
color_dot	colourInput
xyline_color	colourInput
lsline_color	colourInput
color_mean_s	colourInput
color_median_s	colourInput
color_mean	colourInput
color_ci	colourInput
color_median	colourInput
options_s	selectInput
options	selectInput
ind_linewidths	sliderInput
xjitter_s	sliderInput
yjitter_s	sliderInput
lineopacity	sliderInput
s_dotsize	sliderInput
s_dotopacity	sliderInput
dotsize	sliderInput
xjitter	sliderInput
yjitter	sliderInput
dotopacity	sliderInput
ringlw	sliderInput
lw_xyline	sliderInput
lw_lsline	sliderInput
mean_linewidth_s	sliderInput
meansize_s	sliderInput
median_linewidth_s	sliderInput
mediansize_s	sliderInput
meansize	sliderInput
ci_lw	sliderInput
mediansize	sliderInput
plotheight_s	sliderInput
plotwidth_s	sliderInput
numbersize	sliderInput
labelsize	sliderInput
plotsize	sliderInput
dots_or_slopes	radioButtons
dottype	radioButtons
filetype_s	radioButtons
filetype	radioButtons
adddots	checkboxInput
spearman_s	checkboxInput
spearman	checkboxInput
xyline	checkboxInput
lsline	checkboxInput
specifyaxisnums_s  checkboxInput
specifyaxisnums  checkboxInput
addgrid_s	checkboxInput
addgrid	checkboxInput
rug	checkboxInput
addmean_s	checkboxInput
addmedian_s	checkboxInput
addmean	checkboxInput
add95ci	checkboxInput
addmedian	checkboxInput
showdifferences	checkboxInput
digits_s	numericInput
digits	numericInput
xvariablelabel_s	textAreaInput
yvariablelabel_s	textAreaInput
measurelabel_s	textInput
xvariablelabel	textAreaInput
yvariablelabel	textAreaInput
graphtitle_s	textAreaInput
graphtitle	textAreaInput
axisnums_s  textInput
axisnums  textInput
axisranges_s	textInput
axisranges	textInput
datalink  linkInput
